"Make","Price","Year","Kilometer","Fuel Type","Transmission","Owner","Seller Type","Engine","Power","Torque","Drivetrain","Length","Width","Height","SeatingCapacity","TankCapacity"
"Honda",505000,2017,87.15,"Petrol","Manual","First","Corporate",1198,87,109,"FWD",3990,1680,1505,"5",35
"Maruti Suzuki",450000,2014,75,"Diesel","Manual","Second","Individual",1248,74,190,"FWD",3995,1695,1555,"5",42
"Hyundai",220000,2011,67,"Petrol","Manual","First","Individual",1197,79,113,"FWD",3585,1595,1550,"5",35
"Toyota",799000,2019,37.5,"Petrol","Manual","First","Individual",1197,82,113,"FWD",3995,1745,1510,"5",37
"Toyota",1950000,2018,69,"Diesel","Manual","First","Individual",2393,148,343,"RWD",4735,1830,1795,"<5",55
"Maruti Suzuki",675000,2017,73.315,"Petrol","Manual","First","Individual",1373,91,130,"FWD",4490,1730,1485,"5",43
"Mercedes-Benz",1898999,2015,47,"Petrol","Automatic","Second","Individual",1991,181,300,"FWD",4630,1777,1432,"5",52
"BMW",2650000,2017,75,"Diesel","Automatic","Second","Individual",1995,188,400,"AWD",4439,1821,1612,"5",51
"Skoda",1390000,2017,56,"Petrol","Automatic","First","Individual",1798,177,250,"FWD",4670,1814,1476,"5",50
"Nissan",575000,2015,85,"Diesel","Manual","First","Individual",1461,84,200,"FWD",4331,1822,1671,"5",50
"Hyundai",591000,2017,20.281,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Renault",459999,2018,22.541,"Petrol","Manual","First","Individual",999,67,91,"FWD",3679,1579,1478,"5",28
"Maruti Suzuki",1075000,2019,30.672,"Petrol","Automatic","First","Individual",1462,103,138,"FWD",4490,1730,1485,"5",43
"Tata",1695000,2019,20.856,"Diesel","Manual","First","Individual",1956,138,350,"FWD",4598,1894,1706,"5",50
"Volkswagen",944999,2017,41.417,"Petrol","Automatic","First","Individual",1197,103,175,"FWD",3971,1682,1469,"5",45
"Maruti Suzuki",569000,2016,11.471,"Petrol","Automatic","First","Individual",998,67,90,"FWD",3695,1600,1560,"5",35
"Maruti Suzuki",449000,2019,3.583,"Petrol","Manual","First","Individual",796,47,69,"FWD",3445,1515,1475,"5",35
"Maruti Suzuki",894999,2018,21.365,"Petrol","Automatic","First","Individual",1197,82,113,"FWD",3995,1745,1510,"5",37
"Maruti Suzuki",699000,2020,30.777,"Petrol","Automatic","First","Individual",1197,82,113,"FWD",3655,1620,1675,"5",32
"Hyundai",740000,2016,60.125,"Petrol","Manual","First","Individual",1591,122,154,"FWD",4270,1780,1630,"5",60
"Maruti Suzuki",470000,2020,2.169,"Petrol","Automatic","First","Individual",998,67,90,"FWD",3565,1520,1564,"5",27
"Volkswagen",765000,2015,60.24,"Petrol","Automatic","First","Individual",1197,103,153,"FWD",4384,1699,1466,"5",55
"Hyundai",589000,2018,13.772,"Petrol","Automatic","First","Individual",1086,68,99,"FWD",3610,1645,1560,"5",35
"Hyundai",999000,2019,27.464,"Petrol","Manual","First","Individual",998,118,172,"FWD",3995,1770,1605,"5",45
"Maruti Suzuki",370000,2019,47.377,"Other","Manual","First","Individual",998,58,78,"FWD",3545,1490,1475,">5",60
"Maruti Suzuki",325000,2013,23.086,"Petrol","Manual","First","Individual",1197,85,113,"FWD",3775,1680,1620,"5",43
"Hyundai",1175000,2019,36.313,"Petrol","Manual","First","Individual",1591,122,154,"FWD",4270,1780,1630,"5",60
"Honda",351000,2014,39.276,"Petrol","Manual","First","Individual",1198,87,109,"FWD",3610,1680,1500,"5",35
"Hyundai",551000,2015,47.752,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Honda",819999,2018,27.963,"Petrol","Manual","First","Individual",1199,89,110,"FWD",3999,1734,1601,"5",40
"Hyundai",990000,2020,24.013,"Petrol","Manual","First","Individual",998,118,172,"FWD",3995,1770,1605,"5",45
"Hyundai",925000,2016,66,"Diesel","Automatic","First","Individual",1582,126,265,"FWD",4270,1780,1630,"5",60
"Ford",535000,2015,28,"Petrol","Manual","First","Individual",999,124,170,"FWD",3999,1765,1708,"5",52
"Hyundai",145000,2009,72,"Other","Manual","Second","Individual",1086,62,96,"FWD",3565,1525,1590,"5",35
"Tata",409000,2018,27.069,"Petrol","Manual","First","Individual",1199,84,114,"FWD",3746,1647,1535,"5",35
"Tata",490000,2018,43,"Diesel","Manual","First","Individual",1047,69,140,"FWD",3992,1677,1537,"5",35
"Toyota",1900000,2019,71,"Diesel","Manual","First","Individual",2393,148,343,"RWD",4735,1830,1795,"<5",55
"Mercedes-Benz",3850000,2017,45.6,"Diesel","Automatic","Second","Individual",2143,168,400,"AWD",4656,1890,1639,"5",66
"Hyundai",1125000,2018,60,"Diesel","Manual","First","Individual",1582,126,260,"FWD",4270,1780,1665,"5",55
"Mercedes-Benz",2300000,2014,105.101,"Diesel","Automatic","First","Individual",2143,203,500,"AWD",4804,2141,1796,"5",70
"Toyota",1095000,2016,45,"Petrol","Automatic","First","Individual",1798,138,173,"FWD",4620,1775,1475,"5",55
"Audi",1575000,2013,66,"Diesel","Automatic","First","Individual",1968,177,380,"FWD",4701,1826,1427,"5",63
"Mercedes-Benz",2400000,2010,34.105,"Petrol","Automatic","First","Individual",1796,165,240,"RWD",4082,1777,1297,">5",70
"Hyundai",525000,2015,68.397,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Mahindra",625000,2015,65,"Diesel","Manual","Second","Individual",2498,105,247,"AWD",3920,1726,1930,"<5",60
"Maruti Suzuki",605000,2019,27.469,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Maruti Suzuki",412000,2016,41.058,"Petrol","Automatic","First","Individual",998,67,90,"FWD",3600,1600,1560,"5",35
"Maruti Suzuki",625000,2016,51.33,"Diesel","Manual","First","Individual",1248,89,200,"FWD",4490,1730,1485,"5",43
"Maruti Suzuki",511000,2015,45.969,"Petrol","Manual","First","Individual",1373,91,130,"FWD",4490,1730,1485,"5",43
"Hyundai",1150000,2017,66.602,"Diesel","Automatic","First","Individual",1582,126,265,"FWD",4270,1780,1630,"5",60
"Hyundai",885000,2016,57.983,"Petrol","Manual","First","Individual",1591,122,154,"FWD",4270,1780,1630,"5",60
"Renault",470000,2019,11.183,"Petrol","Automatic","First","Individual",999,67,91,"FWD",3679,1579,1478,"5",28
"MG",1611000,2019,46.301,"Diesel","Manual","First","Individual",1956,169,350,"FWD",4655,1835,1760,"5",60
"Tata",475000,2017,34.867,"Petrol","Automatic","Second","Individual",1199,84,114,"FWD",3746,1647,1535,"5",35
"Toyota",865000,2015,43.634,"Diesel","Manual","First","Individual",2494,101,200,"RWD",4585,1765,1760,"<5",55
"BMW",3800000,2018,9.512,"Diesel","Automatic","First","Corporate",1995,190,400,"AWD",4657,1881,1678,"5",67
"Jeep",2475000,2020,11.293,"Diesel","Automatic","First","Individual",1956,171,350,"AWD",4395,1818,1640,"5",60
"Mahindra",4e+05,2014,78,"Diesel","Manual","Second","Individual",2179,120,290,"RWD",4430,1817,1975,"<5",60
"Honda",440000,2016,50.374,"Petrol","Manual","First","Individual",1198,87,109,"FWD",3610,1680,1500,"5",35
"BMW",2800000,2017,15.9,"Petrol","Automatic","First","Individual",1998,181,270,"RWD",4633,1811,1429,"5",57
"Honda",645000,2017,64,"Petrol","Manual","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Volkswagen",365000,2013,78,"Diesel","Manual","First","Individual",1199,74,180,"FWD",3970,1682,1453,"5",45
"Maruti Suzuki",1044999,2021,24,"Petrol","Manual","First","Individual",1462,103,138,"FWD",3995,1790,1640,"5",48
"Maruti Suzuki",515000,2019,40.31,"Petrol","Manual","Second","Individual",1196,73,101,"RWD",3675,1475,1800,"<5",40
"Hyundai",455000,2015,69.7,"Petrol","Automatic","First","Individual",1197,79,112,"FWD",3765,1660,1520,"5",43
"BMW",1800000,2012,74.073,"Diesel","Automatic","First","Individual",1995,184,380,"AWD",4648,1881,1661,"5",67
"Toyota",3499000,2019,73,"Diesel","Automatic","First","Individual",2755,174,450,"RWD",4795,1855,1835,"<5",80
"Honda",190000,2006,130,"Petrol","Manual","Third or more","Individual",1799,130,172,"FWD",4545,1750,1450,"5",50
"Maruti Suzuki",775000,2021,24,"Petrol","Automatic","First","Individual",1197,89,113,"FWD",3845,1735,1530,"5",37
"Hyundai",825000,2021,43,"Diesel","Manual","First","Individual",1493,99,240,"FWD",3995,1775,1505,"5",37
"Audi",2250000,2016,40.5,"Diesel","Automatic","First","Individual",1968,141,320,"FWD",4456,1796,1416,"5",50
"Honda",865000,2017,49.013,"Petrol","Automatic","First","Individual",1497,117,145,"FWD",4440,1695,1495,"5",40
"Ford",299000,2013,64.983,"Diesel","Manual","First","Individual",1399,68,160,"FWD",3795,1680,1427,"5",45
"Honda",570000,2017,92.27,"Petrol","Manual","First","Individual",1199,89,110,"FWD",3955,1694,1544,"5",40
"Volkswagen",385000,2013,65,"Petrol","Manual","First","Individual",1198,74,110,"FWD",3970,1682,1453,"5",45
"Honda",350000,2014,110,"Diesel","Manual","First","Individual",1498,99,200,"FWD",3990,1680,1505,"5",35
"Toyota",2345000,2017,47,"Petrol","Automatic","First","Individual",2494,179,233,"FWD",4825,1825,1480,"5",70
"Mahindra",1650000,2022,10,"Petrol","Automatic","First","Individual",1997,150,320,"AWD",3985,1820,1844,">5",57
"Mercedes-Benz",1100000,2011,51.5,"Diesel","Automatic","Second","Individual",2143,207,500,"RWD",4596,1770,1447,"5",66
"Audi",2900000,2018,35,"Diesel","Automatic","First","Individual",1968,184,380,"AWD",4385,1831,1608,"5",64
"Maruti Suzuki",545000,2017,61.518,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"BMW",2990000,2018,34,"Diesel","Automatic","First","Corporate",1995,184,350,"RWD",4454,2044,1545,"5",63
"Maruti Suzuki",615000,2017,36.058,"Petrol","Manual","First","Individual",1197,83,115,"FWD",3995,1745,1500,"5",37
"Hyundai",890000,2016,88,"Diesel","Automatic","First","Individual",1582,126,265,"FWD",4270,1780,1630,"5",60
"Volkswagen",430000,2015,98.112,"Petrol","Manual","First","Individual",1598,103,153,"FWD",4384,1699,1466,"5",55
"Mercedes-Benz",1650000,2013,58,"Diesel","Automatic","First","Individual",2143,170,400,"RWD",4596,1770,1447,"5",66
"Toyota",1599000,2015,92.355,"Petrol","Automatic","First","Individual",2494,202,270,"FWD",4825,1825,1480,"5",65
"Maruti Suzuki",691000,2019,16.652,"Petrol","Manual","First","Individual",1197,89,113,"FWD",3995,1735,1515,"5",37
"Nissan",650000,2016,76.584,"Diesel","Manual","First","Individual",1461,108,248,"FWD",4331,1822,1671,"5",50
"Maruti Suzuki",415000,2015,42.5,"Other","Manual","First","Individual",998,58,77,"FWD",3599,1495,1700,"5",35
"Maruti Suzuki",669000,2016,70,"Diesel","Manual","First","Individual",1248,89,200,"FWD",3995,1790,1640,"5",48
"BMW",2950000,2015,84.7,"Diesel","Automatic","Second","Individual",2993,258,560,"AWD",4886,1938,1762,"5",52
"Porsche",16200000,2022,2.766,"Petrol","Automatic","First","Individual",2995,335,450,"AWD",4931,1983,1676,">5",75
"Mercedes-Benz",5100000,2017,56,"Petrol","Automatic","Second","Individual",1991,241,370,"RWD",4686,1810,1409,">5",59
"Hyundai",525000,2015,68.766,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Hyundai",750000,2018,16.339,"Petrol","Manual","First","Individual",1591,121,158,"FWD",4375,1700,1475,"5",43
"Honda",445000,2016,63.882,"Petrol","Manual","First","Individual",1198,87,109,"FWD",3990,1680,1505,"5",35
"Toyota",493000,2012,28.732,"Petrol","Manual","First","Individual",1798,138,173,"FWD",4540,1760,1480,"5",55
"Hyundai",611000,2017,51.349,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
"Hyundai",475000,2014,61.866,"Petrol","Automatic","First","Individual",1197,79,112,"FWD",3765,1660,1520,"5",43
"Hyundai",925000,2017,29.401,"Petrol","Manual","First","Individual",1591,122,154,"FWD",4270,1780,1630,"5",60
"Audi",1325000,2012,98.58,"Diesel","Automatic","First","Individual",1968,177,380,"FWD",4915,1874,1455,"5",65
"BMW",3900000,2021,8,"Diesel","Automatic","First","Individual",1995,184,350,"RWD",4454,2044,1545,"5",63
"Mahindra",1299000,2020,31.348,"Diesel","Manual","First","Individual",1497,115,300,"FWD",3995,1821,1627,"5",42
"Maruti Suzuki",580000,2018,28.851,"Diesel","Manual","First","Corporate",1248,74,190,"FWD",3840,1735,1530,"5",37
"Mahindra",1575000,2021,8.519,"Petrol","Manual","First","Individual",1997,150,300,"AWD",3985,1820,1844,">5",57
"Honda",375000,2011,78,"Petrol","Manual","First","Individual",1497,118,146,"FWD",4420,1695,1480,"5",42
"Mercedes-Benz",2250000,2015,48,"Diesel","Automatic","First","Individual",2143,204,500,"RWD",4879,1854,1474,"5",80
"Toyota",1400000,2014,143,"Diesel","Automatic","Second","Individual",2982,169,360,"RWD",4705,1840,1850,"<5",80
"Tata",425000,2017,39,"Diesel","Manual","First","Commercial Registration",1248,74,190,"FWD",3995,1706,1570,"5",44
"Skoda",425000,2014,24,"Petrol","Automatic","Second","Individual",1598,104,153,"FWD",4386,1699,1466,"5",55
"Maruti Suzuki",250000,2015,62,"Petrol","Manual","Second","Individual",796,47,69,"FWD",3395,1490,1475,"5",35
"Maruti Suzuki",425000,2012,78,"Diesel","Manual","Second","Individual",1248,89,200,"FWD",4265,1695,1685,"<5",45
"Hyundai",120000,2009,48.5,"Other","Manual","Third or more","Individual",1086,63,89,"FWD",3565,1525,1590,"5",35
"Ford",235000,2014,82,"Diesel","Manual","Second","Individual",1399,68,160,"FWD",3795,1680,1427,"5",45
"Audi",3050000,2020,40.91,"Diesel","Automatic","First","Individual",1968,141,320,"FWD",4456,1796,1416,"5",50
"Tata",2145000,2020,10.29,"Diesel","Manual","First","Individual",1956,168,350,"FWD",4598,1894,1706,"5",50
"Hyundai",1245000,2021,10.53,"Petrol","Automatic","First","Individual",998,118,172,"FWD",3995,1775,1505,"5",37
"Hyundai",549000,2015,61.9,"Petrol","Manual","First","Individual",1197,82,115,"FWD",3985,1734,1505,"5",45
